Date	Time	Severity	PID	TID	Function	Message
25-03-2025	10:01:57.593	 INFO	 12648	  1576	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	10:01:57.604	 INFO	 12648	 13424	LateInitialization	"Intialization..."
25-03-2025	10:01:57.607	 INFO	 12648	 13424	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	10:01:57.608	 INFO	 12648	 13424	LateInitialization	"IsExplorer = 0"
25-03-2025	10:01:57.609	 INFO	 12648	 13424	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	10:01:57.611	 INFO	 12648	 13424	LateInitialization	"Intialization finished"
25-03-2025	10:02:44.895	 INFO	 21012	 18684	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	10:02:44.897	 INFO	 21012	 20344	LateInitialization	"Intialization..."
25-03-2025	10:02:44.897	 INFO	 21012	 20344	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	10:02:44.898	 INFO	 21012	 20344	LateInitialization	"IsExplorer = 0"
25-03-2025	10:02:44.899	 INFO	 21012	 20344	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	10:02:44.902	 INFO	 21012	 20344	LateInitialization	"Intialization finished"
25-03-2025	10:16:38.330	 INFO	 24264	 22220	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	10:16:38.527	 INFO	 24264	 21772	LateInitialization	"Intialization..."
25-03-2025	10:16:38.572	 INFO	 24264	 21772	LateInitialization	"Exe = c:\Users\aabdelaty\.vscode\extensions\devsense.intelli-php-vscode-0.12.15062-win32-x64\out\server\intelliphp.ls.exe"
25-03-2025	10:16:38.646	 INFO	 24264	 21772	LateInitialization	"IsExplorer = 0"
25-03-2025	10:16:38.725	 INFO	 24264	 21772	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	10:16:38.804	 INFO	 24264	 21772	LateInitialization	"Intialization finished"
25-03-2025	11:53:17.846	 INFO	 26080	  6644	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	11:53:17.905	 INFO	 26080	 28632	LateInitialization	"Intialization..."
25-03-2025	11:53:17.929	 INFO	 26080	 28632	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	11:53:17.943	 INFO	 26080	 28632	LateInitialization	"IsExplorer = 0"
25-03-2025	11:53:17.949	 INFO	 26080	 28632	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	11:53:17.958	 INFO	 26080	 28632	LateInitialization	"Intialization finished"
25-03-2025	11:53:33.720	 INFO	 19400	 25360	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	11:53:33.747	 INFO	 19400	 29036	LateInitialization	"Intialization..."
25-03-2025	11:53:33.761	 INFO	 19400	 29036	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	11:53:33.765	 INFO	 19400	 29036	LateInitialization	"IsExplorer = 0"
25-03-2025	11:53:33.772	 INFO	 19400	 29036	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	11:53:33.798	 INFO	 19400	 29036	LateInitialization	"Intialization finished"
25-03-2025	12:56:11.452	 INFO	 37724	 34936	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	12:56:11.461	 INFO	 37724	 35188	LateInitialization	"Intialization..."
25-03-2025	12:56:11.465	 INFO	 37724	 35188	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	12:56:11.467	 INFO	 37724	 35188	LateInitialization	"IsExplorer = 0"
25-03-2025	12:56:11.469	 INFO	 37724	 35188	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	12:56:11.472	 INFO	 37724	 35188	LateInitialization	"Intialization finished"
25-03-2025	23:24:08.184	 INFO	 28316	 47844	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
25-03-2025	23:24:08.187	 INFO	 28316	 45360	LateInitialization	"Intialization..."
25-03-2025	23:24:08.193	 INFO	 28316	 45360	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
25-03-2025	23:24:08.196	 INFO	 28316	 45360	LateInitialization	"IsExplorer = 0"
25-03-2025	23:24:08.199	 INFO	 28316	 45360	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
25-03-2025	23:24:08.204	 INFO	 28316	 45360	LateInitialization	"Intialization finished"
27-03-2025	12:35:28.265	 INFO	 79236	 88184	DllMain	"DLL_PROCESS_ATTACH Wed Oct 30 00:28:57 2024 11.3.2440.1"
27-03-2025	12:35:28.270	 INFO	 79236	 79272	LateInitialization	"Intialization..."
27-03-2025	12:35:28.271	 INFO	 79236	 79272	LateInitialization	"Exe = C:\Users\aabdelaty\AppData\Local\Programs\Git\usr\bin\bash.exe"
27-03-2025	12:35:28.273	 INFO	 79236	 79272	LateInitialization	"IsExplorer = 0"
27-03-2025	12:35:28.275	 INFO	 79236	 79272	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
27-03-2025	12:35:28.279	 INFO	 79236	 79272	LateInitialization	"Intialization finished"
